Identifiant station,Nom station,Station en fonctionnement,Capacité de la station,Nombre bornettes libres,Nombre total vélos disponibles,Vélos mécaniques disponibles,Vélos électriques disponibles,Borne de paiement disponible,Retour vélib possible,Actualisation de la donnée,Coordonnées géographiques,Nom communes équipées,Code INSEE communes équipées
23701,Parvis Robert Schuman - Roger Salengro,True,24,22,2,0,2,True,True,2025-11-05 09:24:38+00:00,"(48.812657470558754, 2.1921751275658607)",Chaville,92022
20119,Square des Saint-Simoniens,True,25,23,1,0,1,True,True,2025-11-05 09:29:04+00:00,"(48.8701796, 2.3967273)",Paris,75056
12024,Gare de Bercy,True,35,23,12,11,1,True,True,2025-11-05 09:33:43+00:00,"(48.839794573906, 2.3826066032052)",Paris,75056
23802,Raymond Poincaré - Allée de la Marche,True,23,16,6,5,1,True,True,2025-11-05 09:28:07+00:00,"(48.838634069623, 2.1724102640451)",Garches,92033
16129,Ceinture du Lac Inferieure - Saint-Cloud,True,42,19,22,18,4,True,True,2025-11-05 09:32:13+00:00,"(48.86218070933143, 2.2617871686816216)",Paris,75056
20036,Ménilmontant - Pelleport,True,32,32,0,0,0,True,True,2025-11-05 09:29:43+00:00,"(48.870682633845, 2.3989596023316)",Paris,75056
35019,Anatole France - Jean Lolive,True,28,11,13,2,11,True,True,2025-11-05 09:30:41+00:00,"(48.8949922, 2.4253764)",Pantin,93055
10152,Gare du Nord - Place de Valenciennes,False,0,0,0,0,0,False,False,2025-07-08 08:17:37+00:00,"(48.879089, 2.354235)",Paris,75056
14104,Boyer-Barret - Raymond Losserand,True,23,21,2,0,2,True,True,2025-11-05 09:34:14+00:00,"(48.83329880233322, 2.3173383995890617)",Paris,75056
41604,Lagny - Joffre,True,31,0,30,14,16,True,True,2025-11-05 09:29:05+00:00,"(48.84930687084088, 2.417949736118317)",Saint-Mandé,94067
20113,Piat - Parc de Belleville,True,21,18,2,1,1,True,True,2025-11-05 09:26:51+00:00,"(48.87195626635528, 2.384981390278095)",Paris,75056
15017,Place Falguière,True,23,22,0,0,0,True,True,2025-11-05 09:27:26+00:00,"(48.83629973941847, 2.3104464635252953)",Paris,75056
31705,Champeaux - Gallieni,True,50,40,9,1,8,True,True,2025-11-05 09:31:45+00:00,"(48.864459134684644, 2.4161778017878532)",Bagnolet,93006
15029,Emeriau - Place de Brazzaville,True,51,1,49,47,2,True,True,2025-11-05 09:32:49+00:00,"(48.850785261674964, 2.2871585190296173)",Paris,75056
6030,Assas - Vaugirard,True,35,9,25,12,13,True,True,2025-11-05 09:34:20+00:00,"(48.848274111398, 2.3292413726449)",Paris,75056
17018,Parc Monceau,True,18,1,16,5,11,True,True,2025-11-05 09:32:46+00:00,"(48.881077914129, 2.3095492646098)",Paris,75056
12126,Gravelle - Route du Bac,True,51,31,19,12,7,True,True,2025-11-05 09:34:13+00:00,"(48.824407, 2.418455)",Paris,75056
10005,Petites Ecuries - Faubourg Poissonnière,True,17,0,16,11,5,True,True,2025-11-05 09:31:52+00:00,"(48.87397217237368, 2.348388757504776)",Paris,75056
19019,Petit - Manin,True,22,20,2,1,1,True,True,2025-11-05 09:33:19+00:00,"(48.886506875343, 2.3938155401308)",Paris,75056
18020,Francoeur - Marcadet,True,20,18,2,0,2,True,True,2025-11-05 09:27:54+00:00,"(48.89104123261663, 2.340014585442034)",Paris,75056
18005,Tardieu - Chappe,True,18,16,1,0,1,True,True,2025-11-05 09:33:26+00:00,"(48.884146759782, 2.341845408082)",Paris,75056
20136,Henri Chevreau - Couronnes,True,27,26,0,0,0,True,True,2025-11-05 09:32:57+00:00,"(48.87033205312931, 2.388777695596218)",Paris,75056
92004,Nanterre - Université,True,20,20,0,0,0,False,False,2025-06-19 12:58:59+00:00,"(48.901365, 2.212693)",Nanterre,92050
5026,Pascal - Claude Bernard,True,49,11,34,29,5,True,True,2025-11-05 09:32:27+00:00,"(48.839061952159746, 2.3499782010912895)",Paris,75056
26001,Gare d'Asnières sur Seine,True,24,9,15,11,4,True,True,2025-11-05 09:32:58+00:00,"(48.90636459217474, 2.2835066914558415)",Asnières-sur-Seine,92004
